NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV,POPEST2020_CIV
USA,M,35,1954715,1947770,1885067,1942731,1969513,2014461,2166090,2122183,2155655,2165952,2141343,2222904
USA,M,36,1864645,1881270,1949885,1887783,1945725,1973732,2021115,2171321,2126461,2157720,2166317,2141252
USA,M,37,1926769,1907477,1882583,1951756,1890011,1948960,1979417,2025243,2174695,2127465,2157122,2165220
USA,M,38,2022773,2000860,1908746,1884392,1953836,1893184,1954009,1983474,2028421,2176211,2127563,2156882
USA,M,39,2141432,2122287,2003335,1911248,1887498,1958272,1899034,1958708,1987182,2030428,2176242,2127376
USA,M,40,2168696,2165945,2123320,2005266,1913466,1890978,1962790,1902359,1961031,1987648,2029225,2174601
USA,M,41,2027877,2053664,2165504,2123850,2006609,1915497,1894513,1965196,1903862,1960821,1986019,2027292
USA,M,42,2011421,2014035,2053089,2165465,2124203,2007993,1918353,1896450,1966171,1902769,1958166,1983156
USA,M,43,2020840,2015284,2013390,2052409,2164570,2124689,2010271,1919693,1897121,1965261,1900702,1955719
USA,M,44,2076894,2060798,2014067,2011982,2050772,2163716,2125542,2010450,1919465,1894953,1961809,1897214
USA,M,45,2225646,2189753,2058111,2011943,2009203,2048583,2162689,2123945,2008388,1916258,1890575,1957181
USA,M,46,2220938,2228219,2185725,2054659,2008098,2005686,2046045,2159537,2120601,2003301,1910065,1884411
USA,M,47,2229896,2229007,2222964,2180869,2049891,2004051,2002380,2042210,2154874,2115046,1997204,1904298
USA,M,48,2231091,2228157,2222310,2216570,2174451,2044402,1999733,1997523,2036687,2148355,2107849,1990501
USA,M,49,2259512,2256746,2220228,2214826,2208940,2167493,2038837,1993962,1991278,2029371,2139940,2099511
USA,M,50,2296415,2286421,2247248,2211324,2205581,2200239,2159766,2031109,1986072,1982755,2019978,2129914
USA,M,51,2187696,2206402,2275536,2236504,2200399,2195117,2190703,2150392,2021943,1976411,1972731,2009567
USA,M,52,2204859,2194514,2194570,2263436,2224295,2188980,2184455,2179778,2139760,2011138,1965520,1961679
USA,M,53,2139544,2168788,2181246,2181518,2249988,2211269,2176729,2171835,2166963,2127214,1998537,1953056
USA,M,54,2092154,2089967,2154307,2167184,2167247,2235432,2197068,2162535,2157738,2152481,2112651,1984693
USA,M,55,2072430,2073861,2074554,2138965,2151477,2151577,2219774,2181177,2146690,2141569,2136057,2096094
USA,M,56,1955305,1983386,2057680,2058350,2121808,2134271,2134769,2202788,2163981,2129128,2123728,2117786
USA,M,57,1904599,1909072,1966628,2040373,2040758,2103570,2116182,2116691,2184506,2145029,2110153,2104121
USA,M,58,1834239,1837919,1891554,1949018,2021618,2021772,2084318,2096756,2097170,2163993,2124417,2089230
USA,M,59,1753426,1778866,1819860,1873393,1929603,2001681,2001687,2063517,2075349,2075359,2141511,2101516
USA,M,60,1745329,1741871,1760436,1801142,1853635,1909136,1980498,1980147,2040779,2052085,2052005,2116459
USA,M,61,1678947,1691151,1722903,1740920,1780741,1832249,1886972,1957558,1956750,2016154,2027168,2026077
USA,M,62,1712685,1678920,1671430,1702814,1719768,1758790,1809625,1863696,1933148,1931566,1989765,1999581
USA,M,63,1672323,1753775,1657424,1650547,1680613,1697054,1735391,1785599,1838491,1906427,1904218,1960702
USA,M,64,1267848,1291701,1730141,1635113,1627328,1657526,1673052,1710366,1759611,1811079,1877817,1874352
